CMPD_CHEMBLID,MOLWEIGHT,mol,VALUE,ty,label,,
CHEMBL3983566,479.51001,Fc1c(C(=O)N2CCC(NC(=O)c3occc3)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,1.1,KI,1,,
CHEMBL3944277,355.37,Fc1c(N2C(=O)CCC2=O)cc(Cc2nnc(O)c3c2CCCC3)cc1,1.1,KI,1,,
CHEMBL3891936,481.53,Fc1c(C(=O)N2CCN(C(=O)C3N=C(O)CC3)CC2)cc(Cc2nnc(O)c3c2CCCC3)cc1,1.2,KI,1,,
CHEMBL3956370,529.58002,Fc1c(C(=O)N2CCN(C(=O)c3cc4[nH]c(C)nc4cc3)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,1.2,KI,1,,
CHEMBL3931503,475.51999,Fc1c(C(=O)N2CCN(C(=O)c3cnccc3)CC2)cc(Cc2nnc(O)c3c2CCCC3)cc1,1.2,KI,1,,
CHEMBL3977588,449.48999,Fc1c(C(=O)N2CCN(c3ncncn3)CC2)cc(Cc2nnc(O)c3c2CCCC3)cc1,1.2,KI,1,,
CHEMBL2058929,341.39001,Fc1c(N2C(=O)CCC2)cc(CC2=NNC(=O)C3=C2CCCC3)cc1,1.2,KI,1,,
CHEMBL334734,305.26001,FC(F)(F)c1ccc(-c2[nH]c3c(c(C(=O)N)ccc3)n2)cc1,1.2,KI,1,,
CHEMBL597927,455.53,Fc1c(C(=O)N2CCN(C(=O)[C@]3(C)NCCC3)CC2)cc(CC=2C(C)=C(C)C(=O)NN=2)cc1,1.3,IC50,1,,
CHEMBL481081,232.28999,O=C(N)c1c2nc(C(NC)(C)C)[nH]c2ccc1,1.3,EC50,1,,
CHEMBL3937647,385.44,Fc1c(N=C(O)CCCC(=O)C)cc(Cc2nnc(O)c3c2CCCC3)cc1,1.3,KI,1,,
CHEMBL3903698,455.53,Fc1c(C(=O)N2CCN(C(=O)C(C)(C)C)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,1.3,KI,1,,
CHEMBL3957957,510.59,S(=O)(=O)(N1CCN(C(=O)c2c(F)ccc(Cc3nnc(O)c4c3CCCC4)c2)CC1)c1ccccc1,1.3,KI,1,,
CHEMBL1098296,292.34,O=C(N)c1c2nn(-c3cc4c(cc3)CNCC4)cc2ccc1,1.4,IC50,1,,
